Dates,Score,Change in SPY
6/19/20,0.14852587,-3.139984131
6/22/20,0.78116789,1.979980469
6/23/20,-0.17518,1.429992676
6/24/20,1.399203,-7.959991455
6/25/20,-0.216976,3.260009766
6/26/20,1.380975,-7.300018311
6/29/20,1.0608,4.410003662
6/30/20,1.507950001,3.899993896
7/1/20,4.27221005,2.160003662
7/2/20,1.949758,1.710021973
7/6/20,1.40363578,4.819976807
7/7/20,5.00362389,-3.269989014
7/8/20,2.541751,2.399993896
7/9/20,-0.657131109,-1.799987793
7/10/20,2.540642,3.209991455
7/13/20,-0.208566924,-2.75
7/14/20,2.882667,4.08001709
7/15/20,0.166737,2.929992676
7/16/20,3.0628196,-1.059997559
7/17/20,2.149513,0.929992676
7/20/20,0.1681,2.600006104
7/21/20,1.4659,0.690002441
7/22/20,2.817554428,1.849975586
7/23/20,1.160227,-3.899993896
7/24/20,-1.746899,-2.079986572
7/27/20,1.2517,2.339996338
7/28/20,2.142445,-2.049987793
7/29/20,2.553125,3.949981689
7/30/20,2.1292267,-1.160003662
7/31/20,1.7479066,2.559997559
8/3/20,1.6626,2.270019531
8/4/20,1.245981777,1.269989014
8/5/20,-0.65989,2.049987793
8/6/20,2.844984,2.220001221
8/7/20,0.11768319,0.240020752
8/10/20,1.80891,1
8/11/20,1.2029158,-2.770019531
8/12/20,1.248639,4.640014648
8/13/20,1.172543789,-0.610015869
8/14/20,2.170258016,0.010009766
8/17/20,-0.21925,1.070007324
8/18/20,2.599078,0.730010986
8/19/20,2.545624457,-1.410003662
8/20/20,1.968226,1.049987793
8/21/20,3.039173,1.200012207
8/24/20,-0.044,3.440002441
8/25/20,0.8690934,1.199981689
8/26/20,0.87592789,3.450012207
8/27/20,1.983236344,0.759979248
8/28/20,2.1100295,2.25
8/31/20,0.4007,-1.269989014
9/1/20,1.41541,3.290008545
9/2/20,3.36289129,5.100006104
9/3/20,0.48192589,-12.30999756
9/4/20,1.24871875,-2.820007324
9/8/20,1.255505,-9.360015869
9/9/20,2.77096889,6.58001709
9/10/20,2.105179789,-5.899993896
9/11/20,2.53976,0.16998291
9/14/20,1.7162,4.399993896
9/15/20,1.229436,1.710021973
9/16/20,1.9735,-1.350006104
9/17/20,5.05537,-2.980010986
9/18/20,0.6620124,-5.190002441
9/21/20,0.502039989,-3.679992676
9/22/20,1.147030029,3.329986572
9/23/20,2.439543456,-7.659973145
9/24/20,0.653158,0.859985352
9/25/20,1.2248744,5.230010986
9/28/20,0.23331,5.459991455
9/29/20,2.43493,-1.820007324
9/30/20,1.8018229,2.520019531
10/1/20,3.80031,2.149993896
10/2/20,4.1706,-3.200012207
10/5/20,0.2004234,5.920013428
10/6/20,4.5481599,-4.83001709
10/7/20,2.507072,5.83001709
10/8/20,0.83696429,3.019989014
10/9/20,1.2734,3.070007324
10/12/20,1.414202,5.579986572
10/13/20,2.76751389,-2.299987793
10/14/20,3.18611,-2.200012207
10/15/20,-0.08730211,-0.429992676
10/16/20,2.685646868,-0.209991455
10/19/20,0.91,-5.279998779
10/20/20,3.0190234,1.369995117
10/21/20,3.639983,-0.649993896
10/22/20,2.091983,1.879974365
10/23/20,3.3904153,1.170013428
10/26/20,0.67003,-6.389984131
10/27/20,2.58729589,-1.170013428
10/28/20,3.23645178,-11.55999756
10/29/20,5.083584189,3.320007324
10/30/20,5.42628789,-3.440002441
11/2/20,0.8075,3.660003662
11/3/20,1.33108189,5.829986572
11/4/20,3.400266,7.510009766
11/5/20,4.130271132,6.699981689
11/6/20,3.34478,-0.079986572
11/9/20,2.4783,4.399993896
11/10/20,3.46576689,-0.519989014
11/11/20,2.383028456,2.630004883
11/12/20,2.315207,-3.460021973
11/13/20,4.4647957,4.890014648
11/16/20,0.67341,4.470001221
11/17/20,4.888999,-1.950012207
11/18/20,0.81321,-4.339996338
11/19/20,1.4787543,1.5
11/20/20,1.777359789,-2.450012207
11/23/20,1.00E-06,2.130004883
11/24/20,2.22443,5.760009766
11/25/20,4.376817346,-0.559997559
11/27/20,0.8172835,1.010009766
11/30/20,0.4234183,-1.610015869
12/1/20,3.471121,3.959991455
12/2/20,3.915203,0.770019531
12/3/20,2.654311,-0.100006104
12/4/20,3.63854229,3.160003662
12/7/20,1.169512,-0.760009766
12/8/20,1.7508821,1.08001709
12/9/20,1.510941161,-3.320007324
12/10/20,1.86539275,-0.119995117
12/11/20,3.24445724,-0.430023193
12/14/20,0.956,-1.639984131
12/15/20,1.8082038,4.929992676
12/16/20,1.04088,0.58001709
12/17/20,2.009623,2.069976807
12/18/20,0.52964632,-3.059997559
12/21/20,0.69516789,-1.320007324
12/22/20,1.3562066,-0.619995117
12/23/20,1.7000899,0.33001709
12/24/20,1.7338344,1.429992676
12/28/20,0.830016,3.170013428
12/29/20,2.3427001,-0.710021973
12/30/20,1.986024,0.529998779
12/31/20,3.34947089,1.890014648
1/4/21,1.3333,-5.089996338
1/5/21,0.8138146,2.539978027
1/6/21,1.699345457,2.220001221
1/7/21,1.643301,5.550018311
1/8/21,1.83497989,2.160003662
1/11/21,1.2301012,-2.570007324
1/12/21,2.237243763,0.079986572
1/13/21,1.353203,1.020019531
1/14/21,2.9647486,-1.33001709
1/15/21,0.8517,-2.759979248
1/19/21,1.1737,2.949981689
1/20/21,2.839001,5.240020752
1/21/21,3.42111,0.349975586
1/22/21,2.50871,-1.359985352
1/25/21,0.201145,1.510009766
1/26/21,2.995333,-0.600006104
1/27/21,3.64276549,-9.380004883
1/28/21,1.83736,3.220001221
1/29/21,3.333516956,-7.559997559
2/1/21,0.83621,6.160003662
2/2/21,2.686592057,5.319976807
2/3/21,1.99052029,0.300018311
2/4/21,4.0648072,4.339996338
2/5/21,3.060983,1.519989014
2/8/21,0.571999347,2.800018311
2/9/21,2.665875,-0.260009766
2/10/21,0.73849849,-0.170013428
2/11/21,3.56068721,0.630004883
2/12/21,2.378518268,1.930023193
2/16/21,0.731161219,-0.340026855
2/17/21,1.6506544,0.090026855
2/18/21,2.577496,-1.670013428
2/19/21,3.156515237,-0.690002441
2/22/21,0.3008,-3
2/23/21,1.43615145,0.470001221
2/24/21,1.56229729,4.269989014
2/25/21,2.206165797,-9.440002441
2/26/21,3.140969457,-1.970001221
3/1/21,1.06,9.220001221
3/2/21,1.5558211,-3.039978027
3/3/21,1.14492,-5.119995117
3/4/21,1.088026,-4.720001221
3/5/21,1.650813,6.929992676
3/8/21,0.6903238,-1.910003662
3/9/21,1.32244,5.450012207
3/10/21,1.96794,2.409973145
3/11/21,2.408304,3.950012207
3/12/21,2.004982157,0.529998779
3/15/21,1.5169,2.350006104
3/16/21,1.9637573,-0.5
3/17/21,0.93631876,1.350006104
3/18/21,2.4812218,-5.779998779
3/19/21,2.178728957,-2
3/22/21,0.230001,3.109985352
3/23/21,0.1070733,-3.089996338
3/24/21,2.60903674,-1.980010986
3/25/21,3.551467789,2.180023193
3/26/21,1.85871,6.279998779
3/29/21,-0.199958,-0.200012207
3/30/21,1.073803459,-1.049987793
3/31/21,2.016504457,1.599975586
4/1/21,3.374413,4.279998779
4/5/21,1.420106,5.75
4/6/21,2.1720308,-0.239990234
4/7/21,1.6958723,0.470001221
4/8/21,4.553633,1.929992676
4/9/21,3.2081,2.970001221
4/12/21,0.650698789,0.150024414
4/13/21,2.5246,1.219970703
4/14/21,2.829957,-1.409973145
4/15/21,2.940125457,4.41998291
4/16/21,4.55471,1.390014648
4/19/21,0.43064567,-2.050018311
4/20/21,1.49823456,-3.039978027
4/21/21,3.31195,3.899993896
4/22/21,1.305424,-3.800018311
4/23/21,2.4502118,4.470001221
4/26/21,0.700301,0.869995117
4/27/21,1.654784679,-0.089996338
4/28/21,3.280518118,-0.119995117
4/29/21,2.29623975,2.660003662
4/30/21,4.735413,-2.760009766
5/3/21,0.976864,0.900024414
5/4/21,1.124806,-2.58001709
5/5/21,1.951902,0.130004883
5/6/21,4.154894557,3.320007324
5/7/21,3.623124,3.049987793
5/10/21,1.37405,-4.179992676
5/11/21,0.7009314,-3.730010986
5/12/21,1.092088,-8.799987793
5/13/21,1.12395,4.869995117
5/14/21,2.359133457,6.299987793
5/17/21,0.209802,-1.059997559
5/18/21,1.838201,-3.579986572
5/19/21,1.3649203,-1.08001709
5/20/21,1.1839,4.420013428
5/21/21,2.100305445,-0.339996338
5/24/21,0.7304,4.230010986
5/25/21,1.8,-0.930023193
5/26/21,0.8429564,0.83001709
5/27/21,1.8632,0.220001221
5/28/21,3.099116,0.75
6/1/21,0.4806,-0.369995117
6/2/21,1.764847,0.659973145
6/3/21,1.349563003,-1.559997559
6/4/21,1.141947,3.83001709
6/7/21,0.131033457,-0.410003662
6/8/21,1.74786,0.089996338
6/9/21,3.0186513,-0.630004883
6/10/21,2.05485902,1.959991455
6/11/21,3.09384448,0.700012207
6/14/21,0.7105,0.950012207
6/15/21,3.614234,-0.779998779
6/16/21,2.51995,-2.370025635
6/17/21,3.6016434,-0.139984131
6/18/21,1.386856,-7.049987793
6/21/21,0.2501557,5.939971924
6/22/21,1.7396,2.25
6/23/21,2.89425456,-0.509979248
6/24/21,1.632206,2.5
6/25/21,-0.040326597,1.509979248
6/28/21,0.5211,0.860015869
6/29/21,2.2914573,0.230010986
6/30/21,1.767723,0.359985352
7/1/21,2.19770105,2.369995117
7/2/21,2.899865003,3.290008545
7/6/21,2.434723456,-0.790008545
7/7/21,2.71718078,1.529998779
7/8/21,2.48504,-3.539978027
7/9/21,2.482962,4.599975586
7/12/21,0.03333001,1.559997559
7/13/21,1.550262,-1.489990234
7/14/21,3.6383,0.649993896
7/15/21,4.00189089,-1.489990234
7/16/21,1.01495625,-3.410003662
7/19/21,1.2865,-6.369995117
7/20/21,1.142334611,6.089996338
7/21/21,1.730602,3.489990234
7/22/21,2.649428457,0.910003662
7/23/21,2.292955,4.480010986
7/26/21,1.01475,1.079986572
7/27/21,-0.311917,-2.009979248
7/28/21,2.687445,-0.180023193
7/29/21,3.921454349,1.820007324
7/30/21,1.552493,-2.139984131
8/2/21,0.240101,-0.920013428
8/3/21,1.9213,3.559997559
8/4/21,3.2517077,-2.16998291
8/5/21,1.910684,2.779998779
8/6/21,1.369939438,0.729980469
8/9/21,1.489593,-0.359985352
8/10/21,2.910651214,0.549987793
8/11/21,2.666252857,1.100006104
8/12/21,1.038512,1.329986572
8/13/21,2.259206,0.810028076
8/16/21,0.0501,1.049987793
8/17/21,2.7474,-2.929992676
8/18/21,2.394974,-4.860015869
8/19/21,1.2887,0.679992676
8/20/21,1.523523,3.5
8/23/21,0.140300999,3.900024414
8/24/21,2.147733,0.709991455
8/25/21,-0.1468603,0.940002441
8/26/21,0.476033457,-2.649993896
8/27/21,1.127412,3.989990234
8/30/21,0.8561,1.980010986
8/31/21,2.6612193,-0.670013428
9/1/21,1.670561156,0.239990234
9/2/21,1.189401,1.390014648
9/3/21,1.313956,-0.110015869
9/7/21,2.1079014,-1.619995117
9/8/21,1.0916307,-0.549987793
9/9/21,1.796704,-1.929992676
9/10/21,0.4515573,-3.540008545
9/13/21,0.2313363,1.139984131
9/14/21,2.412957,-2.409973145
9/15/21,1.133752,3.709991455
9/16/21,1.5631604,-0.709991455
9/17/21,1.71071204,-5.770019531
9/20/21,0.984623,-7.359985352
9/21/21,1.139424,-0.410003662
9/22/21,1.424068,4.229980469
9/23/21,5.10328419,5.320007324
9/24/21,1.710454,0.730010986
9/27/21,-0.50937,-1.269989014
9/28/21,2.496671,-8.920013428
9/29/21,2.137126457,0.730010986
9/30/21,2.16042345,-5.309997559
10/1/21,1.246973,5.099975586
10/4/21,2.1015009,-5.599975586
10/5/21,2.1433,4.459991455
10/6/21,1.221456,1.799987793
10/7/21,2.2743,3.760009766
10/8/21,0.66342,-0.800018311
10/11/21,0.4011,-3.16998291
10/12/21,1.60617221,-1.070007324
10/13/21,2.26850845,1.559997559
10/14/21,3.661103789,7.320007324
10/15/21,3.01646789,3.369995117
10/19/21,1.207401,1.320007324
10/20/21,4.275866,3.450012207
10/21/21,3.51492433,1.769989014
10/22/21,2.5368663,1.179992676
10/25/21,0.408463456,-0.470001221
10/26/21,3.24597789,2.429992676
10/27/21,2.856539457,0.410003662
10/28/21,1.471828,-2.019989014
10/29/21,4.1452537,4.380004883
11/1/21,0.02021003,0.929992676
11/2/21,2.881701,0.790008545
11/3/21,2.50860689,1.859985352
11/4/21,4.52222,2.820007324
11/5/21,4.49067089,2.190002441
11/8/21,-0.5983,1.619995117
11/9/21,1.608305,0.399993896
11/10/21,1.83458189,-1.549987793
11/11/21,1.20478835,-3.760009766
11/12/21,2.048301,0.149993896
11/15/21,1.03,3.5
11/16/21,1.696103,0.160003662
11/17/21,3.42149277,1.850006104
11/18/21,0.447675,-1.139984131
11/19/21,2.21265,1.589996338
11/22/21,-0.44969,-0.839996338
11/23/21,2.5273,-1.320007324
11/24/21,1.7034394,0.619995117
11/26/21,1.329701,1.25
11/29/21,0.230537,-10.47000122
11/30/21,1.9798,5.630004883
12/1/21,0.875511,-9.040008545
12/2/21,2.679023457,-5.059997559
12/3/21,2.768522,6.899993896
12/6/21,0.966464,-3.979980469
12/7/21,2.667153,5.369995117
12/8/21,3.127224,9.489990234
12/9/21,1.788601,1.239990234
12/10/21,1.178085,-3.16998291
12/13/21,0.987524,4.389984131
12/14/21,2.7689,-4.16998291
12/15/21,1.96733461,-3.210021973
12/16/21,1.561365,7.240020752
12/17/21,2.08366792,-4.149993896
12/20/21,0.4311,-6.58001709
12/21/21,1.72312,-4.889984131
12/22/21,2.813833,8.079986572
12/23/21,2.414397789,4.630004883
12/27/21,0.05005,2.910003662
12/28/21,0.42074,6.660003662
12/29/21,1.463075,-0.390014648
12/30/21,1.468983,0.610015869
12/31/21,1.6232,-1.320007324
1/3/22,-0.04094121,-1.200012207
1/4/22,2.0127272,2.75
1/5/22,1.511343,-0.160003662
1/6/22,0.5611234,-9.16998291
1/7/22,1.30136789,-0.440002441
1/10/22,0.65,-1.850006104
1/11/22,2.391262789,-0.579986572
1/12/22,-0.12156911,4.239990234
1/13/22,3.4434282,1.269989014
1/14/22,2.384260247,-6.489990234
1/18/22,0.31720211,0.190002441
1/19/22,2.81715,-8.230010986
1/20/22,2.421683,-4.739990234
1/21/22,2.365496568,-5
1/24/22,0.198445,-8.769989014
1/25/22,2.4445684,1.859985352
1/26/22,3.24722789,-5.369995117
1/27/22,2.541386,-1.089996338
1/28/22,3.521954457,-2.140014648
1/31/22,-0.0773,10.71002197
2/1/22,1.339329457,7.959991455
2/2/22,3.5303392,3.040008545
2/3/22,4.073103,4.399993896
2/4/22,3.205901,-10.75
2/7/22,0.4301,2.100006104
2/8/22,1.8335,-1.440002441
2/9/22,0.624049456,3.679992676
2/10/22,3.116428679,6.600006104
2/11/22,2.743186,-8.220001221
2/14/22,0.33142,-8.860015869
2/15/22,2.99955879,-1.440002441
2/16/22,2.4555268,7.08001709
2/17/22,4.3929123,0.5
2/18/22,3.372155,-9.540008545
2/22/22,0.761823457,-2.829986572
2/23/22,-0.80486444,-4.660003662
2/24/22,1.36745,-7.619995117
2/25/22,-1.364384,6.349975586
2/28/22,0.41185,9.450012207
3/1/22,3.5185,-1.119995117
3/2/22,1.434901,-6.649993896
3/3/22,2.5458872,7.910003662
3/4/22,1.3042578,-2.180023193
3/7/22,1.110389789,-3.539978027
3/8/22,1.5151,-12.74002075
3/9/22,0.87544456,-3.179992676
3/10/22,0.475359456,11.16000366
3/11/22,2.735903,-1.929992676
3/14/22,0.2781183,-5.410003662
3/15/22,1.866609457,-3.070007324
3/16/22,2.042157919,9.170013428
3/17/22,3.1667234,9.449981689
3/18/22,1.94594829,5.450012207
3/21/22,0.53556789,3.449981689
3/22/22,3.44376789,-0.129974365
3/23/22,3.062106,5.199981689
3/24/22,1.431220257,-5.790008545
3/25/22,0.9824,6.690002441
3/28/22,1.082357456,2.200012207
3/29/22,2.1870148,3.220001221
3/30/22,2.14671805,5.639984131
3/31/22,1.358408,-2.849975586
4/1/22,4.3897,-7.059997559
4/4/22,0.062155,1.279998779
4/5/22,0.677823,3.879974365
4/6/22,1.624023486,-5.769989014
4/7/22,2.2126,-4.510009766
4/8/22,2.597440568,2.25
4/11/22,0.8503,-1.199981689
4/12/22,1.862403,-7.649993896
4/13/22,3.9059538,-1.630004883
4/14/22,3.54410789,5.019989014
4/18/22,-0.271555,-5.519989014
4/19/22,0.46676789,0.179992676
4/20/22,1.740926,7.070007324
4/21/22,1.2150043,-0.33001709
4/22/22,3.620812,-6.649993896
4/25/22,0.200002,-12.01998901
4/26/22,1.8252674,2.470001221
4/27/22,1.391685,-12.41000366
4/28/22,-0.584151,1.16998291
4/29/22,3.635946,10.54000854
5/2/22,1.7446,-15.80999756
5/3/22,0.792944,2.480010986
5/4/22,5.09413,1.899993896
5/5/22,3.243643157,12.67999268
5/6/22,3.274885,-15.25
5/9/22,1.4621,-2.470001221
5/10/22,1.6638,-13.16998291
5/11/22,0.9622504,0.91998291
5/12/22,-0.792307,-6.339996338
5/13/22,1.541288685,-0.410003662
5/16/22,0.6303123,9.380004883
5/17/22,2.510501,-1.630004883
5/18/22,-0.6124706,8.230010986
5/19/22,1.638613,-16.46002197
5/20/22,-1.84580811,-2.399993896
5/23/22,0.1883335,0.170013428
5/24/22,2.290079079,7.290008545
5/25/22,1.746246457,-3.029998779
5/26/22,1.4162196,3.479980469
5/27/22,2.2937,7.940002441
5/31/22,1.35070002,9.950012207
6/1/22,2.011,-2.33001709
6/2/22,2.2682216,-3.339996338
6/3/22,1.914247433,7.800018311
6/6/22,1.28025,-6.850006104
6/7/22,1.957815,1.25
6/8/22,3.660424,3.949981689
6/9/22,-0.01549499,-4.519989014
6/10/22,1.549503,-9.779998779
6/13/22,0.17,-11.64001465
6/14/22,-0.449022653,-14.79998779
6/15/22,0.13693289,-1.130004883
6/16/22,0.12434468,5.33001709
6/17/22,2.9709447,-12.55001831
6/20/22,0.2455136,-0.790008545
6/21/22,-0.399099,9.210021973
6/22/22,1.7985,-0.679992676
6/23/22,0.848004,3.66998291
6/24/22,1.8307844,12.01998901
6/27/22,0.2082,-1.489990234
6/28/22,1.215923,-7.940002441
6/29/22,0.47995,-0.309997559
6/30/22,0.63736,-3.089996338
7/1/22,3.431178434,3.989990234
7/5/22,0.80506,0.720001221
7/6/22,0.324723449,1.290008545
7/7/22,2.4761,5.739990234
7/8/22,2.091923457,-0.319976807
7/11/22,1.6204,-4.440002441
7/12/22,1.18917,-3.400024414
7/13/22,3.058732,-2
7/14/22,3.3414272,-0.91998291
7/15/22,3.3427316,7.220001221
7/18/22,1.5213,-3.179992676
7/19/22,1.899462,10.31997681
7/20/22,1.77993089,2.5
7/21/22,3.342957457,4.020019531
7/22/22,0.280366,-3.700012207
7/25/22,0.2003,0.480010986
7/26/22,2.5529,-4.679992676
7/27/22,-0.377272543,10.1499939
7/28/22,4.72035,5.029998779
7/29/22,4.215713,5.91998291
8/1/22,0.35741,-1.220001221
8/2/22,2.275232,-2.709991455
8/3/22,1.55735,6.390014648
8/4/22,1.5462,-0.279998779
8/5/22,2.786007,-0.700012207
8/8/22,-0.45,-0.480010986
8/9/22,0.669402,-1.639984131
8/10/22,1.46298903,8.639984131
8/11/22,3.461304843,0
8/12/22,3.324798457,7.110015869
8/15/22,0.02081,1.759979248
8/16/22,1.281575,0.840026855
8/17/22,1.459221,-3.050018311
8/18/22,1.35951,1.240020752
8/19/22,2.04085,-5.75
8/22/22,0.631204,-8.790008545
8/23/22,2.518411,-1
8/24/22,0.642346,1.320007324
8/25/22,1.622040568,5.839996338
8/26/22,0.89992889,-14.20001221
8/29/22,0.3503456,-2.679992676
8/30/22,2.371203,-4.420013428
8/31/22,1.8879053,-3.029998779
9/1/22,1.927823456,1.240020752
9/2/22,0.663461,-4.180023193
9/6/22,0.935068456,-1.479980469
9/7/22,1.4387,7.019989014
9/8/22,2.4689936,2.600006104
9/9/22,3.162254,6.220001221
9/12/22,0.630125,4.369995117
9/13/22,1.3882,-17.86999512
9/14/22,1.4966474,1.5
9/15/22,1.693443,-4.480010986
9/16/22,3.811108,-4.559997559
9/19/22,0.2301312,2.989990234
9/20/22,0.82121,-4.459991455
9/21/22,1.9169423,-6.699981689
9/22/22,1.30151,-3.170013428
9/23/22,1.569488089,-6.269989014
9/26/22,-0.47,-3.640014648
9/27/22,0.52093,-0.929992676
9/28/22,0.61284389,7.149993896
9/29/22,1.959384,-7.739990234
9/30/22,1.892590457,-5.610015869
10/3/22,-0.097653521,9.429992676
10/4/22,0.952560857,11.36001587
10/5/22,0.70161,-0.880004883
10/6/22,2.470344,-3.889984131
10/7/22,1.8520553,-10.41000366
10/10/22,0.4301,-2.770019531
10/11/22,2.137949,-2.279998779
10/12/22,1.44087889,-1.179992676
10/13/22,-0.22566811,9.410003662
10/14/22,3.18466914,-8.339996338
10/17/22,0.4801234,9.190002441
10/18/22,0.954906,4.309997559
10/19/22,2.38163,-2.630004883
10/20/22,2.2108,-3.089996338
10/21/22,0.054245,8.880004883
10/24/22,0.8757,4.579986572
10/25/22,1.100754,6.050018311
10/26/22,1.6189885,-2.900024414
10/27/22,2.9783365,-2.039978027
10/28/22,2.10580283,9.039978027
10/31/22,0.70097,-2.809997559
11/1/22,0.880603,-1.690002441
11/2/22,2.071833,-9.649993896
11/3/22,2.51511,-3.859985352
11/4/22,2.167491357,5.339996338
11/7/22,1.34,3.600006104
11/8/22,0.521529,2.049987793
11/9/22,1.86457389,-7.869995117
11/10/22,1.522436,20.55999756
11/11/22,1.012604,3.820007324
